flock_id,pen_id,day,breed,phase,season,health_status,flock_size,temperature_c,humidity_pct,feed_intake_g,water_intake_ml,cumulative_feed_g,body_weight_g,fcr,problem_type,mortality_risk
0,Pen_A,1,Noiler,Starter,Dry/Harmattan,Healthy,570,35.0,53.8,12.09,28.8,12.09,268.14,1.2,None,0
0,Pen_A,2,Noiler,Starter,Dry/Harmattan,Mild Stress,570,38.3,82.7,9.3,27.81,21.39,268.14,1.2,Dirty/wet litter,0
0,Pen_A,3,Noiler,Starter,Dry/Harmattan,Recovering,570,34.9,54.9,5.0,20.0,26.39,276.56,1.2,None,0
0,Pen_A,4,Noiler,Starter,Dry/Harmattan,Healthy,570,34.7,49.2,10.64,20.54,37.04,354.16,1.2,None,0
0,Pen_A,5,Noiler,Starter,Dry/Harmattan,Recovering,570,32.1,49.8,8.41,33.66,45.45,354.16,1.2,None,0
0,Pen_A,6,Noiler,Starter,Dry/Harmattan,Healthy,570,35.7,63.2,11.73,25.76,57.18,415.29,1.2,None,0
0,Pen_A,7,Noiler,Starter,Dry/Harmattan,Post-Vaccination,570,34.3,58.1,8.34,20.0,65.52,418.73,1.2,Vaccination stress,0
0,Pen_A,8,Noiler,Starter,Dry/Harmattan,Healthy,570,34.6,54.1,29.28,76.91,94.8,456.16,1.2,None,0
0,Pen_A,9,Noiler,Starter,Dry/Harmattan,Mild Stress,570,35.9,62.7,17.25,50.95,112.05,456.16,1.931,Low appetite,0
0,Pen_A,10,Noiler,Starter,Dry/Harmattan,Recovering,570,35.5,58.0,11.31,28.61,123.35,456.16,1.862,Disease symptoms,0
0,Pen_A,11,Noiler,Starter,Dry/Harmattan,Recovering,570,34.8,50.7,22.7,56.24,146.05,503.5,1.2,None,0
0,Pen_A,12,Noiler,Starter,Dry/Harmattan,Healthy,570,33.7,59.6,29.62,80.99,175.67,648.96,1.2,None,0
0,Pen_A,13,Noiler,Starter,Dry/Harmattan,Recovering,570,32.4,86.0,11.12,25.1,186.79,648.96,1.917,Mouldy feed,0
0,Pen_A,14,Noiler,Starter,Dry/Harmattan,Recovering,570,35.0,51.6,14.42,40.21,201.21,648.96,1.663,Disease symptoms,1
